Date;Pic journalier consommation (MW);Température moyenne (°C);Température référence (°C)
2022-07-23;48304.0;22.5;21.2
2022-07-25;54132.0;23.4;21.2
2022-08-13;46096.0;25.9;20.6
2022-08-20;44884.0;20.8;20.0
2022-08-23;51931.0;22.9;19.8
2022-08-27;46505.0;21.3;19.3
2022-09-02;52265.0;20.2;18.6
2022-09-07;52736.0;19.6;18.0
2022-09-08;51333.0;18.7;17.9
2022-09-10;46230.0;17.7;17.7
2022-09-14;52955.0;21.2;17.2
2022-09-18;43882.0;13.8;16.6
2022-09-22;51349.0;14.8;16.1
2022-09-25;44869.0;14.3;15.7
2022-09-29;52994.0;12.3;15.2
2022-10-01;49177.0;15.5;15.0
2022-10-04;52536.0;14.4;14.6
2022-10-06;51512.0;14.9;14.3
2022-10-07;51545.0;14.4;14.2
2022-10-12;52829.0;14.1;13.5
2022-10-13;52648.0;14.7;13.4
2022-10-21;50220.0;17.4;12.3
2022-10-26;51045.0;17.4;11.6
2022-11-03;54897.0;12.1;10.4
2022-11-05;51295.0;9.5;10.1
2022-11-06;51469.0;10.4;10.0
2022-11-07;57106.0;12.7;9.8
2022-11-18;59355.0;9.7;8.2
2022-11-27;58103.0;8.1;7.0
2022-12-09;75750.0;2.9;5.7
2022-12-12;84603.0;-0.7;5.4
2022-12-18;73199.0;1.8;5.0
2022-12-21;62934.0;10.9;4.9
2022-12-26;56760.0;10.2;4.7
2022-12-31;51083.0;13.8;4.6
2023-01-02;59986.0;10.7;4.6
2023-01-04;63997.0;9.8;4.6
2023-01-07;56212.0;9.6;4.6
2023-01-21;74128.0;1.5;5.1
2023-02-13;75838.0;5.7;6.2
2023-02-18;56983.0;10.6;6.5
2023-02-23;66921.0;8.1;6.8
2023-02-25;62980.0;6.3;7.0
2023-02-26;68749.0;3.4;7.0
2023-03-09;62024.0;11.9;7.8
2023-03-11;57519.0;8.7;8.0
2023-03-24;54797.0;12.4;9.2
2023-04-01;51593.0;10.7;10.1
2023-04-16;50028.0;10.3;12.0
2023-04-26;55939.0;12.1;13.3
2023-04-27;53216.0;14.8;13.4
2023-05-01;44710.0;13.7;14.0
2023-05-09;51849.0;15.1;14.9
2023-05-13;47700.0;13.8;15.4
2023-05-18;46311.0;13.0;16.0
2023-05-25;49799.0;16.0;16.8
2023-06-10;45802.0;21.6;18.4
2023-06-12;50655.0;20.9;18.6
2023-06-17;46500.0;23.2;19.0
2023-06-19;51053.0;21.5;19.2
2023-06-21;52165.0;22.3;19.4
2023-06-24;46152.0;23.4;19.7
2023-06-27;51066.0;20.7;19.9
2023-07-04;51945.0;19.8;20.4
2023-07-09;45526.0;24.0;20.7
2023-07-14;46027.0;22.8;21.0
2023-07-17;52086.0;21.0;21.1
2023-07-20;52931.0;21.2;21.2
2023-07-21;52185.0;20.4;21.2
2023-07-25;50425.0;18.2;21.2
2023-07-26;50201.0;18.8;21.2
2023-07-31;48082.0;20.3;21.2
2023-08-01;48590.0;20.2;21.2
2023-08-04;47052.0;17.8;21.1
2023-08-09;46617.0;21.0;20.8
2023-08-29;50049.0;16.6;19.1
2023-09-01;50755.0;20.2;18.8
2023-09-08;54403.0;24.9;17.9
2023-09-16;46771.0;21.0;16.9
2023-09-17;44923.0;21.8;16.8
2023-09-23;45148.0;14.1;16.0
2023-09-24;43269.0;15.0;15.9
2023-09-26;49730.0;18.1;15.6
2023-10-08;43838.0;18.2;14.0
2023-10-11;50577.0;18.7;13.6
2023-10-17;53519.0;13.7;12.8
2023-10-28;50715.0;13.3;11.3
2023-10-29;48096.0;14.3;11.1
